Authors	Year	Title	Journal	DOI	Oases	lat	long	Country	Reviewer
ADEL M. ELPRINCE	1985	Model for the Soil Solution Composition of an Oasis	Soil Science Society of America Journal	10.2136/sssaj1985.03615995004900050010x	Al-Ahsa	25.420747	49.62042	Saudi Arabia	JAHA
Adel Ahmed Elshafei, Samy Abd El-Aziz Afiah, Abdullah Abdulaziz Al-Doss, Eid Ibrahim Ibrahim	2019	Morphological variability and genetic diversity of wheat genotypes grown on saline soil and identification of new promising molecular markers associated with salinity tolerance	Journal of Plant Interactions	10.1080/17429145.2019.1672815	Siwa	29.206355	25.531078	Egypt	JAHA
Mohsen Mohamed Elsharkawy, Mustafa Almasoud, Yasser Mohamed Alsulaiman, Rowida S. Baeshen, Hayam Elshazly, Roqayah H. Kadi, Mohamed M. Hassan and Rady Shawer 	2022	Efficiency of Bacillus thuringiensis and Bacillus cereus against Rhynchophorus ferrugineus	Insects	10.3390/insects13100905 	Al-Ahsa	25.420747	49.62042	Saudi Arabia	MF
Ibrahim Elsohaby  , Ahmed Samy , Ahmed Elmoslemany  , Mohammed Alorabi , Mohamed Alkafafy  , Ali Aldoweriej , Theeb Al-Marri , Ayman Elbehiry,Mahmoud Fayez	2021	Migratory Wild Birds as a Potential Disseminator of Antimicrobial-Resistant Bacteria around Al-Asfar Lake, Eastern Saudi Arabia	antibiotics	10.3390/antibiotics10030260	Al-Ahsa	25.420747	49.62042	Saudi Arabia	JAHA
Mostafa Ahmed Elwan, Ahmad Helaly, Khaled Zharan, Elsayed Issawy, Ahmed Abd El-Gawad	2021	Local geoid model of the Western Desert in Egypt using terrestrial gravity data and global geopotential models	Arabian Journal of Geosciences	10.1007/s12517-021-07817-6	Kharga oasis	25.45255	30.555723	Egypt	JAHA
Mostafa Ahmed Elwan, Ahmad Helaly, Khaled Zharan, Elsayed Issawy, Ahmed Abd El-Gawad	2021	Local geoid model of the Western Desert in Egypt using terrestrial gravity data and global geopotential models	Arabian Journal of Geosciences	10.1007/s12517-021-07817-6	Dakhla	25.520135	29.126163	Egypt	JAHA
Mostafa Ahmed Elwan, Ahmad Helaly, Khaled Zharan, Elsayed Issawy, Ahmed Abd El-Gawad	2021	Local geoid model of the Western Desert in Egypt using terrestrial gravity data and global geopotential models	Arabian Journal of Geosciences	10.1007/s12517-021-07817-6	Farafra	27.056532	27.962671	Egypt	JAHA
Mostafa Ahmed Elwan, Ahmad Helaly, Khaled Zharan, Elsayed Issawy, Ahmed Abd El-Gawad	2021	Local geoid model of the Western Desert in Egypt using terrestrial gravity data and global geopotential models	Arabian Journal of Geosciences	10.1007/s12517-021-07817-6	Bahariya oasis	28.385161	28.910502	Egypt	JAHA
Abu Elzein E.M.E., Hilali M.,  Al-Afaleq A.I., Mellor Philip S., Boorman J., Al-Atiya S., Al-Naiem A., Boomker Jacob Diederik Frederik	2002	Seasonal abundance of four Culicoides spp. (Diptera: Ceratopogonidae) at Al-Ahsa oasis, Eastern Province, Saudi Arabia	The Onderstepoort journal of veterinary research		Al-Ahsa	25.420747	49.62042	Saudi Arabia	JAHA
Ahmed Gamal EldinGahmy	2001	Palaeoethnobotanical studies of the Neolithic settlement in hidden valley, farafra oasis, egypt	Vegetation History and Archaeobotany 	10.1007/pl00006935	Farafra	27.056532	27.962671	Egypt	JAHA
SCOTT I. FAIRGRIEVE, J.E. MOLTO2	2000	Cribra Orbitalia in Two Temporally Disjunct Population Samples From the Dakhleh Oasis, Egypt	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY		Dakhleh	25.550941	28.932225	Egypt	JAHA
Chao Fan , SoeW. Myint , Shai Kaplan , Ariane Middel , Baojuan Zheng ,Atiqur Rahman , Huei-Ping Huang , Anthony Brazel , Dan G. Blumberg	2017	Understanding the Impact of Urbanization on Surface Urban Heat Islands—A Longitudinal Analysis of the Oasis Effect in Subtropical Desert Cities	remote sensing	10.3390/rs9070672	Hotan	37.092865	79.858456	China	JAHA
Chao Fan , SoeW. Myint , Shai Kaplan , Ariane Middel , Baojuan Zheng ,Atiqur Rahman , Huei-Ping Huang , Anthony Brazel , Dan G. Blumberg	2017	Understanding the Impact of Urbanization on Surface Urban Heat Islands—A Longitudinal Analysis of the Oasis Effect in Subtropical Desert Cities	remote sensing	10.3390/rs9070672	Kharga oasis	25.45255	30.555723	Egypt	JAHA
Mahmoud Faris, Ayman Abdel Sabour	2020	Late Paleocene-Early Eocene nannofossil bioevents at Gebel El Aguz, Northern Kharga Oasis, Western Desert, Egypt	Arabian Journal of Geosciences	10.1007/s12517-020-5158-6	Kharga oasis	25.45255	30.555723	Egypt	JAHA
M. Faris, A. T. Abd EI-Hameed, A. M. Marzouk and I. M. Ghandour, Tanta	1999	Early Paleogene calcareous nannofossil and planktonic foraminiferal biostratigraphy in Central Egypt	Neues Jahrbuch für Geologie und Paläontologie	10.1127/njgpa/213/1999/261	Kharga oasis	25.45255	30.555723	Egypt	JAHA
